licence_num,使用分區,其他基地面積,原建照,地上層數,地上避難面積,地下層數,地下避難面積,工程造價,幢數,建物高度,建築面積,建造類別,戶數,棟數,構造種類,法定空地面積,發照日期,竣工日期,簷高,開工日期,騎樓基地面積
100使字第0084號,政治大學用地(公共設施用地),32634,098建字第0396號,4,0,1,0,80.0,1,15.6,3535.07,增建,1,1,鋼骨造,19580.4,2011-03-24,2010-12-14,,2009-12-23,0
100使字第0085號,特定專用區,180494,099雜字第0016號,0,,0,,799.0,0,0,0,新建,0,0,RC造,0,2011-03-25,2011-02-18,,2010-06-25,0
100使字第0086號,聯合開發區(捷),395.49,097建字第0543號,12,0,2,380.12,4715.0,1,43.5,259.02,新建,12,1,鋼骨造,186.53,2011-03-25,2010-12-02,,2009-04-01,55.51
100使字第0087號,住3,173,097建字第0353號,7,0,1,76.89,682.0,1,22.4,76.77,新建,6,1,RC造,95.15,2011-03-30,2010-12-30,,2008-11-19,0
100使字第0088號,交通用地、住2,14260.74,097建字第0100號,19,0,3,4488.63,51847.0,1,66.4,4309,新建,245,4,鋼骨RC造、RC造,7227.52,2011-02-15,2010-08-12,66.25,2008-09-09,0
100使字第0089號,商3、住4,1007.6,097建字第0473號,14,0,5,886.54,17777.0,1,49.1,572.29,新建,60,1,RC造,368.11,2011-03-30,2011-01-06,,2008-12-15,110.4
100使字第0090號,第二種工業區,711.69,097建字第0420號,7,0,2,475.73,2991.0,1,29.25,300.1,新建,7,1,RC造,377.95,2011-03-31,2011-01-05,,2009-06-23,0
100使字第0091號,住1,1115.94,098建字第0008號,3,0,1,0,1115.0,1,10.5,330.64,新建,1,1,RC造,785.3,2011-03-31,2010-11-22,,2009-03-19,0
100使字第0092號,商業區（原屬住三）,689,096建字第0042號,7,0,1,607.35,2280.0,1,26.2,308.42,新建,20,1,RC造,378.95,2011-03-31,2010-10-04,,2007-10-19,0
100使字第0093號,住2,188,096建字第0363號,5,0,1,0,283.0,0,15.3,65.77,新建,4,1,RC造,122.23,2011-04-01,2010-03-08,,2008-01-10,0
100使字第0094號,特定專用區(一)(供特定商業使用),288,097建字第0125號,3,0,0,0,374.0,1,11.33,266.09,修建,2,1,加強磚石造,47.55,2011-04-01,2010-10-11,,2008-05-28,29
100使字第0095號,特定專用區(三)(供特定住宅使用),238,097建字第0019號,2,0,0,0,162.0,1,7.25,173.9,新建,1,1,磚造,64.38,2011-04-01,2010-07-21,,2008-04-14,11
100使字第0096號,住2,2582.99,096建字第0546號,5,0,2,423.97,5454.0,,17.5,870.07,新建,5,2,RC造,1712.92,2011-04-01,2010-11-11,,2008-06-10,0
100使字第0097號,第三種工業區,1054,097建字第0557號,10,0,2,917.54,6346.0,1,34.25,407.85,新建,19,1,RC造,474.3,2011-04-08,2011-02-18,,2009-09-01,0
100使字第0098號,第四種住宅,759,097建字第0143號,9,0,2,652.12,4738.0,1,27.4,370.66,新建,72,1,RC造,377.01,2011-04-08,2010-11-25,,2008-11-14,0
100使字第0099號,第二種住宅區,528,097建字第0321號,5,0,1,0,831.0,1,17.5,178.3,新建,5,1,RC造,341.54,2011-04-08,2011-01-31,,2009-03-24,0
100使字第0100號,住3、住3－2,1838,099雜字第0008號,0,0,0,0,85.0,0,7.17,46.2,新建,0,0,木造,1010.9,2011-04-08,2011-01-21,,2010-06-23,0
100使字第0101號,特定專用區(三)(供特定住宅使用),89.03,096建字第0509號,2,0,0,0,99.0,1,10.42,63.88,修建,1,1,磚造,25.15,2011-04-11,2010-08-18,,2008-06-23,16.97
100使字第0102號,國中用地,23328,099建字第0211號,2,,0,,649.0,1,7.2,265.91,新建,1,2,鋼構造,13996.8,2011-04-11,2011-01-26,,2010-08-18,0
100使字第0103號,在信義計畫特定專用區內之特定業務區、住3,1368,096建字第0555號,14,0,5,927.59,14277.0,1,49.92,479.8,新建,27,1,鋼骨RC造,763.4,2011-04-12,2011-02-17,,2008-08-19,0
100使字第0104號,住宅區,3272,097建字第0122號,15,0,3,1948.27,24778.0,2,49.65,1068,新建,111,2,RC造,1799.6,2011-04-12,2010-10-27,49.47,2008-06-25,0
100使字第0105號,住3,248,097建字第0191號,7,0,2,182.02,1139.0,1,20.6,110.43,新建,13,1,RC造,136.4,2011-04-12,2010-09-09,,2008-07-02,0
100使字第0106號,台灣大學用地〈公共設施用地〉,127.3,094建字第0027號,14,,3,1000.57,194.0,1,63.65,2460.81,新建,1,1,鋼骨造,521282.4,2011-04-13,2010-08-17,,2006-02-20,
100使字第0107號,住宅區,4300,097建字第0188號,12,0,4,2989.83,33214.0,2,40,1921.38,新建,199,2,RC造,2365,2011-04-14,2011-01-06,,2008-07-15,0
100使字第0108號,加油站用地,1897,097建字第0580號,2,0,0,0,445.0,2,7.7,574.02,增建,1,2,RC造,1322.98,2011-04-15,2010-07-19,,2009-09-17,0
100使字第0109號,商業用地[台北車站特定專用區],366.79,097建字第0217號,12,0,3,414.01,5692.0,1,45.05,256.74,新建,37,1,RC造,110.04,2011-04-18,2011-02-22,,2008-06-30,132.21
100使字第0110號,機關用地,204151,097建字第0246號,3,0,1,0,863.0,1,11.85,500.95,新建,1,1,RC造,112283.05,2011-04-18,2010-10-07,,2009-03-20,0
100使字第0111號,學校用地,38266,099建字第0023號,4,0,0,0,209.0,1,18.7,135.32,新建,1,2,RC造、輕鋼架造,33081.59,2011-04-19,2010-11-01,,,0
100使字第0112號,公園用地,24569,096建字第0508號,1,0,0,0,359.0,1,9.13,577.65,增建,1,1,輕型鋼架造,20883.65,2011-04-20,2008-06-30,,2008-06-30,0
100使字第0113號,學校用地,14387,098建字第0282號,1,0,0,1714.08,181.0,0,4.75,4209.51,增建,1,1,RC造、鋼骨造,8632.2,2011-04-20,2010-05-17,4.5,2009-08-27,0
100使字第0114號,第四種商業區,807.63,097建字第0113號,15,0,4,802.03,16139.0,1,49.9,595.54,新建,80,1,RC造,206.03,2011-04-22,2011-01-31,,2008-11-25,81.37
100使字第0115號,高中用地,20325,096建字第0648號,1,0,0,0,239.0,2,3.3,0,新建,1,1,鋼板,12195,2011-04-26,2011-03-02,,2007-12-26,0
100使字第0116號,住2,188,097建字第0091號,4,0,0,0,206.0,1,12.5,62.57,新建,1,1,RC造,122.2,2011-04-26,2010-05-06,,2008-07-07,0
100使字第0117號,商1,491,097建字第0478號,12,,3,347.41,3201.0,1,44,269.92,新建,35,1,RC造,220.95,2011-04-27,2010-12-31,,2009-06-05,0
100使字第0118號,商1,1388.5,097建字第0426號,11,0,4,1007.8,10922.0,1,35.35,764.59,新建,50,1,RC造,741.91,2011-04-29,2011-03-02,,2009-04-13,118
100使字第0119號,住2,1712.13,097建字第0233號,5,0,2,0,2358.0,0,17.45,461.98,新建,30,2,RC造,1112.88,2011-04-29,2011-02-21,17.1,2009-02-15,0
100使字第0120號,敦化南北路特定專用區(A區)(原屬第四之一種住宅區)、敦化南北路特定專用區(A區)(原屬第四種住宅區）,465.86,099建字第0216號,3,0,0,0,1340.0,1,11.6,309.41,新建,3,1,鋼骨造,187.59,2011-04-29,2011-04-11,,2010-06-28,31.14
100使字第0121號,學校用地(公共設施用地),25879,098建字第0320號,4,0,1,1204.34,4394.0,2,15.95,1297.06,新建,1,2,RC造,15527.4,2011-04-29,2011-03-17,,2009-10-15,0
100使字第0122號,住3,168,096建字第0526號,4,0,0,0,95.0,1,12.5,75.59,增建,1,1,RC造、輕型鋼架造,92.4,2011-05-02,2010-06-15,,2008-07-11,0
100使字第0123號,住3,1390.56,096建字第0271號,14,0,3,1376.27,14343.0,1,49.96,656.25,新建,25,1,鋼骨RC造,803.43,2011-05-03,2011-03-11,,2008-01-10,108.44
100使字第0124號,私立康寧護校用地,21176.03,098建字第0145號,5,0,0,0,35.0,1,18.8,7498.95,增建,1,1,鋼骨造,12687.6,2011-05-04,2010-12-02,,2009-12-11,0
100使字第0125號,公共設施用地,927634,098建字第0043號,5,0,0,0,131.0,1,18.95,17.63,增建,1,1,RC造,861475.18,2011-05-04,2010-09-23,,2009-07-22,
100使字第0126號,娛樂區(供娛樂購物中心使用),6625.4,099雜字第0032號,0,0,0,0,576.0,0,0,0,新建,0,0,RC造,2650.16,2011-05-04,2011-04-07,,2010-09-08,0
100使字第0127號,住2,617.65,099建字第0311號,1,0,0,0,383.0,1,5.74,216,新建,1,1,鋼骨造,401.47,2011-05-05,2011-03-10,,2010-11-17,0
100使字第0128號,住3、住3－2,889.58,097建字第0231號,15,842.57,5,842.57,12311.0,1,49.95,404.01,新建,21,2,鋼骨RC造,494.77,2011-05-05,2011-01-31,,2008-07-23,111.42
100使字第0129號,住3,178,097建字第0372號,5,0,1,0,345.0,1,15,75.14,新建,1,1,RC造,97.9,2011-05-06,2010-08-02,,2009-03-05,0
